emoji,fr_signification,unicode,en_signification
🕺, danse homme ,\U0001f57a,man dancing
🕺🏿, homme danse teint foncé ,\U0001f57a\U0001f3ff,man dancing dark skin tone
🕺🏻, homme danse teint lumière ,\U0001f57a\U0001f3fb,man dancing light skin tone
🕺🏾, homme qui danse moyen foncé teint ,\U0001f57a\U0001f3fe,man dancing medium-dark skin tone
🕺🏼, homme danse moyen léger teint ,\U0001f57a\U0001f3fc,man dancing medium-light skin tone
🕺🏽, homme teint moyen de danse ,\U0001f57a\U0001f3fd,man dancing medium skin tone
👨🏿, homme teint foncé ,\U0001f468\U0001f3ff,man dark skin tone
🕵️‍♂️, détective homme ,\U0001f575\ufe0f\u200d\u2642\ufe0f,man detective
🕵🏿‍♂️, homme détective teint foncé ,\U0001f575\U0001f3ff\u200d\u2642\ufe0f,man detective dark skin tone
🕵🏻‍♂️, ton détective peau claire homme ,\U0001f575\U0001f3fb\u200d\u2642\ufe0f,man detective light skin tone
🕵🏾‍♂️, peau détective homme moyen noir ton ,\U0001f575\U0001f3fe\u200d\u2642\ufe0f,man detective medium-dark skin tone
🕵🏼‍♂️, détective homme moyen léger teint ,\U0001f575\U0001f3fc\u200d\u2642\ufe0f,man detective medium-light skin tone
🕵🏽‍♂️, homme teint moyen détective ,\U0001f575\U0001f3fd\u200d\u2642\ufe0f,man detective medium skin tone
🧝‍♂️, homme elfe ,\U0001f9dd\u200d\u2642\ufe0f,man elf
🧝🏿‍♂️, Homme teint elfe noir ,\U0001f9dd\U0001f3ff\u200d\u2642\ufe0f,man elf dark skin tone
🧝🏻‍♂️, homme teint lumière ,\U0001f9dd\U0001f3fb\u200d\u2642\ufe0f,man elf light skin tone
🧝🏾‍♂️, homme ton elfe de peau moyen foncé ,\U0001f9dd\U0001f3fe\u200d\u2642\ufe0f,man elf medium-dark skin tone
🧝🏼‍♂️, homme teint moyen-lumière elfe ,\U0001f9dd\U0001f3fc\u200d\u2642\ufe0f,man elf medium-light skin tone
🧝🏽‍♂️, homme teint moyen elfe ,\U0001f9dd\U0001f3fd\u200d\u2642\ufe0f,man elf medium skin tone
🤦‍♂️, homme facepalming ,\U0001f926\u200d\u2642\ufe0f,man facepalming
🤦🏿‍♂️, homme facepalming teint foncé ,\U0001f926\U0001f3ff\u200d\u2642\ufe0f,man facepalming dark skin tone
🤦🏻‍♂️, homme facepalming teint clair ,\U0001f926\U0001f3fb\u200d\u2642\ufe0f,man facepalming light skin tone
🤦🏾‍♂️, homme facepalming teint moyen foncé,\U0001f926\U0001f3fe\u200d\u2642\ufe0f,man facepalming medium-dark skin tone
🤦🏼‍♂️,homme facepalming moyen léger teint ,\U0001f926\U0001f3fc\u200d\u2642\ufe0f,man facepalming medium-light skin tone
🤦🏽‍♂️, homme facepalming teint moyen ,\U0001f926\U0001f3fd\u200d\u2642\ufe0f,man facepalming medium skin tone
👨‍🏭, ouvrier homme ,\U0001f468\u200d\U0001f3ed,man factory worker
👨🏿‍🏭, ouvrier homme teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f3ed,man factory worker dark skin tone
👨🏻‍🏭, homme ouvrier teint clair ,\U0001f468\U0001f3fb\u200d\U0001f3ed,man factory worker light skin tone
👨🏾‍🏭, homme teint moyen foncé ouvrier usine ,\U0001f468\U0001f3fe\u200d\U0001f3ed,man factory worker medium-dark skin tone
👨🏼‍🏭, homme teint moyen-léger ouvrier d'usine ,\U0001f468\U0001f3fc\u200d\U0001f3ed,man factory worker medium-light skin tone
👨🏽‍🏭, homme teint moyen des travailleurs de l'usine ,\U0001f468\U0001f3fd\u200d\U0001f3ed,man factory worker medium skin tone
🧚‍♂️, fée homme ,\U0001f9da\u200d\u2642\ufe0f,man fairy
🧚🏿‍♂️, fée homme teint foncé ,\U0001f9da\U0001f3ff\u200d\u2642\ufe0f,man fairy dark skin tone
🧚🏻‍♂️, fée homme teint clair ,\U0001f9da\U0001f3fb\u200d\u2642\ufe0f,man fairy light skin tone
🧚🏾‍♂️, homme teint moyen foncé fée ,\U0001f9da\U0001f3fe\u200d\u2642\ufe0f,man fairy medium-dark skin tone
🧚🏼‍♂️, homme teint moyen-lumière fée ,\U0001f9da\U0001f3fc\u200d\u2642\ufe0f,man fairy medium-light skin tone
🧚🏽‍♂️, homme teint moyen de fées ,\U0001f9da\U0001f3fd\u200d\u2642\ufe0f,man fairy medium skin tone
👨‍🌾, fermier homme ,\U0001f468\u200d\U0001f33e,man farmer
👨🏿‍🌾, homme fermier noir tonus de la peau ,\U0001f468\U0001f3ff\u200d\U0001f33e,man farmer dark skin tone
👨🏻‍🌾, farmer homme teint clair ,\U0001f468\U0001f3fb\u200d\U0001f33e,man farmer light skin tone
👨🏾‍🌾, homme peau moyenne noir ton fermier ,\U0001f468\U0001f3fe\u200d\U0001f33e,man farmer medium-dark skin tone
👨🏼‍🌾, homme teint moyen-léger fermier ,\U0001f468\U0001f3fc\u200d\U0001f33e,man farmer medium-light skin tone
👨🏽‍🌾, fermier homme moyen carnation ,\U0001f468\U0001f3fd\u200d\U0001f33e,man farmer medium skin tone
👨‍🚒, pompier homme ,\U0001f468\u200d\U0001f692,man firefighter
👨🏿‍🚒, pompier homme teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f692,man firefighter dark skin tone
👨🏻‍🚒, homme pompier teint clair ,\U0001f468\U0001f3fb\u200d\U0001f692,man firefighter light skin tone
👨🏾‍🚒, homme pompier moyen foncé teint ,\U0001f468\U0001f3fe\u200d\U0001f692,man firefighter medium-dark skin tone
👨🏼‍🚒, teint moyen-lumière pompier homme ,\U0001f468\U0001f3fc\u200d\U0001f692,man firefighter medium-light skin tone
👨🏽‍🚒, pompier homme teint moyen ,\U0001f468\U0001f3fd\u200d\U0001f692,man firefighter medium skin tone
🙍‍♂️, homme renfrogné ,\U0001f64d\u200d\u2642\ufe0f,man frowning
🙍🏿‍♂️, homme fronçant les sourcils teint foncé ,\U0001f64d\U0001f3ff\u200d\u2642\ufe0f,man frowning dark skin tone
🙍🏻‍♂️, homme fronçant les sourcils teint clair ,\U0001f64d\U0001f3fb\u200d\u2642\ufe0f,man frowning light skin tone
🙍🏾‍♂️, homme fronçant les sourcils teint moyen foncé ,\U0001f64d\U0001f3fe\u200d\u2642\ufe0f,man frowning medium-dark skin tone
🙍🏼‍♂️, homme fronçant les sourcils teint moyen lumière ,\U0001f64d\U0001f3fc\u200d\u2642\ufe0f,man frowning medium-light skin tone
🙍🏽‍♂️, homme fronçant les sourcils teint moyen ,\U0001f64d\U0001f3fd\u200d\u2642\ufe0f,man frowning medium skin tone
🧞‍♂️, homme genie ,\U0001f9de\u200d\u2642\ufe0f,man genie
🙅‍♂️, homme gesticulant NO ,\U0001f645\u200d\u2642\ufe0f,man gesturing NO
🙅🏿‍♂️, homme gesticulant NO noir teint ,\U0001f645\U0001f3ff\u200d\u2642\ufe0f,man gesturing NO dark skin tone
🙅🏻‍♂️, homme gesticulant NO teint clair ,\U0001f645\U0001f3fb\u200d\u2642\ufe0f,man gesturing NO light skin tone
🙅🏾‍♂️, homme gesticulant NO teint moyen foncé ,\U0001f645\U0001f3fe\u200d\u2642\ufe0f,man gesturing NO medium-dark skin tone
🙅🏼‍♂️, homme gesticulant NO moyen léger teint ,\U0001f645\U0001f3fc\u200d\u2642\ufe0f,man gesturing NO medium-light skin tone
🙅🏽‍♂️, homme gesticulant teint NO moyen ,\U0001f645\U0001f3fd\u200d\u2642\ufe0f,man gesturing NO medium skin tone
🙆‍♂️, homme gesticulant OK ,\U0001f646\u200d\u2642\ufe0f,man gesturing OK
🙆🏿‍♂️, homme gesticulant carnation OK foncé ,\U0001f646\U0001f3ff\u200d\u2642\ufe0f,man gesturing OK dark skin tone
🙆🏻‍♂️, homme gesticulant lumière OK carnation ,\U0001f646\U0001f3fb\u200d\u2642\ufe0f,man gesturing OK light skin tone
🙆🏾‍♂️, homme gesticulant OK teint moyen foncé ,\U0001f646\U0001f3fe\u200d\u2642\ufe0f,man gesturing OK medium-dark skin tone
🙆🏼‍♂️, homme gesticulant OK carnation moyenne lumière ,\U0001f646\U0001f3fc\u200d\u2642\ufe0f,man gesturing OK medium-light skin tone
🙆🏽‍♂️, homme gesticulant teint moyen OK ,\U0001f646\U0001f3fd\u200d\u2642\ufe0f,man gesturing OK medium skin tone
💇‍♂️, homme se coupe de cheveux ,\U0001f487\u200d\u2642\ufe0f,man getting haircut
💇🏿‍♂️, homme obtenir le teint coupe de cheveux noir ,\U0001f487\U0001f3ff\u200d\u2642\ufe0f,man getting haircut dark skin tone
💇🏻‍♂️, homme obtenir le teint clair de coupe de cheveux ,\U0001f487\U0001f3fb\u200d\u2642\ufe0f,man getting haircut light skin tone
💇🏾‍♂️, homme obtenir moyen de coupe teint -Dark ,\U0001f487\U0001f3fe\u200d\u2642\ufe0f,man getting haircut medium-dark skin tone
💇🏼‍♂️, homme obtenir le teint moyen-léger coupe ,\U0001f487\U0001f3fc\u200d\u2642\ufe0f,man getting haircut medium-light skin tone
💇🏽‍♂️, homme obtenir le teint moyen de coupe ,\U0001f487\U0001f3fd\u200d\u2642\ufe0f,man getting haircut medium skin tone
💆‍♂️, homme obtenir massage ,\U0001f486\u200d\u2642\ufe0f,man getting massage
💆🏿‍♂️, homme obtenir le teint foncé massage ,\U0001f486\U0001f3ff\u200d\u2642\ufe0f,man getting massage dark skin tone
💆🏻‍♂️, homme obtenir le teint léger massage ,\U0001f486\U0001f3fb\u200d\u2642\ufe0f,man getting massage light skin tone
💆🏾‍♂️, homme obtenir une peau mi-noire massage ton ,\U0001f486\U0001f3fe\u200d\u2642\ufe0f,man getting massage medium-dark skin tone
💆🏼‍♂️, homme se le teint moyen léger massage ,\U0001f486\U0001f3fc\u200d\u2642\ufe0f,man getting massage medium-light skin tone
💆🏽‍♂️, homme obtenir le teint moyen de massage ,\U0001f486\U0001f3fd\u200d\u2642\ufe0f,man getting massage medium skin tone
🏌️‍♂️, golf homme ,\U0001f3cc\ufe0f\u200d\u2642\ufe0f,man golfing
🏌🏿‍♂️, peau homme golf foncé ton ,\U0001f3cc\U0001f3ff\u200d\u2642\ufe0f,man golfing dark skin tone
🏌🏻‍♂️, homme golf teint clair ,\U0001f3cc\U0001f3fb\u200d\u2642\ufe0f,man golfing light skin tone
🏌🏾‍♂️, homme teint moyen foncé golf ,\U0001f3cc\U0001f3fe\u200d\u2642\ufe0f,man golfing medium-dark skin tone
🏌🏼‍♂️, homme teint moyen-lumière golf ,\U0001f3cc\U0001f3fc\u200d\u2642\ufe0f,man golfing medium-light skin tone
🏌🏽‍♂️, homme teint moyen de golf ,\U0001f3cc\U0001f3fd\u200d\u2642\ufe0f,man golfing medium skin tone
💂‍♂️, garde homme ,\U0001f482\u200d\u2642\ufe0f,man guard
💂🏿‍♂️, homme garde le teint foncé ,\U0001f482\U0001f3ff\u200d\u2642\ufe0f,man guard dark skin tone
💂🏻‍♂️, homme garde la peau lumière ne ,\U0001f482\U0001f3fb\u200d\u2642\ufe0f,man guard light skin tone
💂🏾‍♂️, homme garde moyen foncé teint ,\U0001f482\U0001f3fe\u200d\u2642\ufe0f,man guard medium-dark skin tone
💂🏼‍♂️, homme garde moyen léger teint ,\U0001f482\U0001f3fc\u200d\u2642\ufe0f,man guard medium-light skin tone
💂🏽‍♂️, homme garde le teint moyen ,\U0001f482\U0001f3fd\u200d\u2642\ufe0f,man guard medium skin tone
👨‍⚕️, agent de santé homme ,\U0001f468\u200d\u2695\ufe0f,man health worker
👨🏿‍⚕️, homme teint foncé des travailleurs de la santé ,\U0001f468\U0001f3ff\u200d\u2695\ufe0f,man health worker dark skin tone
👨🏻‍⚕️, agent de santé homme teint lumière ,\U0001f468\U0001f3fb\u200d\u2695\ufe0f,man health worker light skin tone
👨🏾‍⚕️, homme peau moyenne noir agent de santé ton ,\U0001f468\U0001f3fe\u200d\u2695\ufe0f,man health worker medium-dark skin tone
👨🏼‍⚕️, moyenne lumière teint agent de santé homme ,\U0001f468\U0001f3fc\u200d\u2695\ufe0f,man health worker medium-light skin tone
👨🏽‍⚕️, agent de santé homme teint moyen ,\U0001f468\U0001f3fd\u200d\u2695\ufe0f,man health worker medium skin tone
🧘‍♂️, homme en position de lotus ,\U0001f9d8\u200d\u2642\ufe0f,man in lotus position
🧘🏿‍♂️, homme en position de lotus teint foncé ,\U0001f9d8\U0001f3ff\u200d\u2642\ufe0f,man in lotus position dark skin tone
🧘🏻‍♂️, homme dans le ton de la peau claire de la position du lotus ,\U0001f9d8\U0001f3fb\u200d\u2642\ufe0f,man in lotus position light skin tone
🧘🏾‍♂️, homme dans la peau mi-noire position du lotus ton ,\U0001f9d8\U0001f3fe\u200d\u2642\ufe0f,man in lotus position medium-dark skin tone
🧘🏼‍♂️, homme le teint moyen lumière Posture du lotus ,\U0001f9d8\U0001f3fc\u200d\u2642\ufe0f,man in lotus position medium-light skin tone
🧘🏽‍♂️, homme teint moyen de position de lotus ,\U0001f9d8\U0001f3fd\u200d\u2642\ufe0f,man in lotus position medium skin tone
👨‍🦽, homme en fauteuil roulant manuel ,\U0001f468\u200d\U0001f9bd,man in manual wheelchair
👨‍🦼, homme en fauteuil roulant motorisé ,\U0001f468\u200d\U0001f9bc,man in motorized wheelchair
🧖‍♂️, homme dans la chambre chaude et humide ,\U0001f9d6\u200d\u2642\ufe0f,man in steamy room
🧖🏿‍♂️, homme dans le ton de la peau chaude et humide chambre sombre ,\U0001f9d6\U0001f3ff\u200d\u2642\ufe0f,man in steamy room dark skin tone
🧖🏻‍♂️, homme dans la chambre chaude et humide teint clair ,\U0001f9d6\U0001f3fb\u200d\u2642\ufe0f,man in steamy room light skin tone
🧖🏾‍♂️, homme chaud et humide chambre teint moyen foncé ,\U0001f9d6\U0001f3fe\u200d\u2642\ufe0f,man in steamy room medium-dark skin tone
🧖🏼‍♂️, homme teint moyen-lumière pièce embuée ,\U0001f9d6\U0001f3fc\u200d\u2642\ufe0f,man in steamy room medium-light skin tone
🧖🏽‍♂️, homme teint moyen de pièce embuée ,\U0001f9d6\U0001f3fd\u200d\u2642\ufe0f,man in steamy room medium skin tone
🕴, homme en costume d'affaires léviter ,\U0001f574,man in business suit levitating
🕴🏿, homme en costume léviter teint foncé ,\U0001f574\U0001f3ff,man in suit levitating dark skin tone
🕴🏻, homme en costume léviter teint clair ,\U0001f574\U0001f3fb,man in suit levitating light skin tone
🕴🏾, homme en costume léviter le teint moyen foncé ,\U0001f574\U0001f3fe,man in suit levitating medium-dark skin tone
🕴🏼, homme en costume teint moyen-lumière lévitation ,\U0001f574\U0001f3fc,man in suit levitating medium-light skin tone
🕴🏽, homme en costume levitat ing teint moyen ,\U0001f574\U0001f3fd,man in suit levitating medium skin tone
🤵, homme tuxedo ,\U0001f935,man in tuxedo
🤵🏿, homme teint tuxedo noir ,\U0001f935\U0001f3ff,man in tuxedo dark skin tone
🤵🏻, homme tuxedo teint clair ,\U0001f935\U0001f3fb,man in tuxedo light skin tone
🤵🏾, homme dans la peau tuxedo moyen foncé ton ,\U0001f935\U0001f3fe,man in tuxedo medium-dark skin tone
🤵🏼, homme teint tuxedo moyenne lumière ,\U0001f935\U0001f3fc,man in tuxedo medium-light skin tone
🤵🏽, homme teint moyen tuxedo ,\U0001f935\U0001f3fd,man in tuxedo medium skin tone
👨‍⚖️, juge de l'homme ,\U0001f468\u200d\u2696\ufe0f,man judge
👨🏿‍⚖️, l'homme juge teint foncé ,\U0001f468\U0001f3ff\u200d\u2696\ufe0f,man judge dark skin tone
👨🏻‍⚖️, homme juge carnation lumière ,\U0001f468\U0001f3fb\u200d\u2696\ufe0f,man judge light skin tone
👨🏾‍⚖️, homme juge moyen foncé carnation ,\U0001f468\U0001f3fe\u200d\u2696\ufe0f,man judge medium-dark skin tone
👨🏼‍⚖️, homme juge teint moyen clair ,\U0001f468\U0001f3fc\u200d\u2696\ufe0f,man judge medium-light skin tone
👨🏽‍⚖️, homme juge carnation moyenne ,\U0001f468\U0001f3fd\u200d\u2696\ufe0f,man judge medium skin tone
🤹‍♂️, jonglage homme ,\U0001f939\u200d\u2642\ufe0f,man juggling
🤹🏿‍♂️, homme jonglerie noir peau ton ,\U0001f939\U0001f3ff\u200d\u2642\ufe0f,man juggling dark skin tone
🤹🏻‍♂️, jonglage homme teint lumière ,\U0001f939\U0001f3fb\u200d\u2642\ufe0f,man juggling light skin tone
🤹🏾‍♂️, homme jonglage moyen foncé teint ,\U0001f939\U0001f3fe\u200d\u2642\ufe0f,man juggling medium-dark skin tone
🤹🏼‍♂️, homme jonglage moyen léger teint ,\U0001f939\U0001f3fc\u200d\u2642\ufe0f,man juggling medium-light skin tone
🤹🏽‍♂️, homme jongler carnation moyenne ,\U0001f939\U0001f3fd\u200d\u2642\ufe0f,man juggling medium skin tone
🏋️‍♂️, poids de levage de l'homme ,\U0001f3cb\ufe0f\u200d\u2642\ufe0f,man lifting weights
🏋🏿‍♂️, poids de levage de teint foncé homme ,\U0001f3cb\U0001f3ff\u200d\u2642\ufe0f,man lifting weights dark skin tone
🏋🏻‍♂️, poids de levage homme teint lumière ,\U0001f3cb\U0001f3fb\u200d\u2642\ufe0f,man lifting weights light skin tone
🏋🏾‍♂️, homme soulever des poids moyen foncé teint ,\U0001f3cb\U0001f3fe\u200d\u2642\ufe0f,man lifting weights medium-dark skin tone
🏋🏼‍♂️, homme poids de levage moyen léger teint ,\U0001f3cb\U0001f3fc\u200d\u2642\ufe0f,man lifting weights medium-light skin tone
🏋🏽‍♂️, poids de levage homme teint moyen ,\U0001f3cb\U0001f3fd\u200d\u2642\ufe0f,man lifting weights medium skin tone
👨🏻, homme teint lumière ,\U0001f468\U0001f3fb,man light skin tone
🧙‍♂️, mage homme ,\U0001f9d9\u200d\u2642\ufe0f,man mage
🧙🏿‍♂️, homme mage teint foncé ,\U0001f9d9\U0001f3ff\u200d\u2642\ufe0f,man mage dark skin tone
🧙🏻‍♂️, homme mage teint clair ,\U0001f9d9\U0001f3fb\u200d\u2642\ufe0f,man mage light skin tone
🧙🏾‍♂️, homme mage teint moyen foncé ,\U0001f9d9\U0001f3fe\u200d\u2642\ufe0f,man mage medium-dark skin tone
🧙🏼‍♂️, homme teint moyen-lumière mage ,\U0001f9d9\U0001f3fc\u200d\u2642\ufe0f,man mage medium-light skin tone
🧙🏽‍♂️, ton mage peau moyenne homme ,\U0001f9d9\U0001f3fd\u200d\u2642\ufe0f,man mage medium skin tone
👨‍🔧, mécanicien homme ,\U0001f468\u200d\U0001f527,man mechanic
👨🏿‍🔧, homme mécanicien teint foncé ,\U0001f468\U0001f3ff\u200d\U0001f527,man mechanic dark skin tone
👨🏻‍🔧, homme ton mécanicien peau claire ,\U0001f468\U0001f3fb\u200d\U0001f527,man mechanic light skin tone
👨🏾‍🔧, homme mécanicien ski moyen noir n ton ,\U0001f468\U0001f3fe\u200d\U0001f527,man mechanic medium-dark skin tone
👨🏼‍🔧, homme mécanicien moyen léger teint ,\U0001f468\U0001f3fc\u200d\U0001f527,man mechanic medium-light skin tone
👨🏽‍🔧, homme teint moyen mécanique ,\U0001f468\U0001f3fd\u200d\U0001f527,man mechanic medium skin tone
👨🏾, homme moyen foncé teint ,\U0001f468\U0001f3fe,man medium-dark skin tone
👨🏼, homme moyen léger teint ,\U0001f468\U0001f3fc,man medium-light skin tone
👨🏽, ton homme peau moyenne ,\U0001f468\U0001f3fd,man medium skin tone
🚵‍♂️, VTT homme ,\U0001f6b5\u200d\u2642\ufe0f,man mountain biking
🚵🏿‍♂️, homme montagne vélo teint foncé ,\U0001f6b5\U0001f3ff\u200d\u2642\ufe0f,man mountain biking dark skin tone
🚵🏻‍♂️, VTT homme teint clair ,\U0001f6b5\U0001f3fb\u200d\u2642\ufe0f,man mountain biking light skin tone
🚵🏾‍♂️, teint moyen-lumière VTT homme ,\U0001f6b5\U0001f3fe\u200d\u2642\ufe0f,man mountain biking medium-dark skin tone
🚵🏼‍♂️, ,\U0001f6b5\U0001f3fc\u200d\u2642\ufe0f,man mountain biking medium-light skin tone
🚵🏽‍♂️, montagne homme vélo moyen foncé teint le teint moyen VTT homme ,\U0001f6b5\U0001f3fd\u200d\u2642\ufe0f,man mountain biking medium skin tone
👨‍💼, homme employé de bureau ,\U0001f468\u200d\U0001f4bc,man office worker
👨🏿‍💼, homme employé de bureau noir peau ton ,\U0001f468\U0001f3ff\u200d\U0001f4bc,man office worker dark skin tone
👨🏻‍💼, homme employé de bureau teint clair ,\U0001f468\U0001f3fb\u200d\U0001f4bc,man office worker light skin tone
👨🏾‍💼, homme employé de bureau moyen foncé teint ,\U0001f468\U0001f3fe\u200d\U0001f4bc,man office worker medium-dark skin tone
